Direction,TraceSource,SNR_dB,QualityAxis,QualityValueRole,QualitySource,Metric,MeanValue,P05Value,P95Value,SampleCount,BeamManagementProcedure,SignalSourceFamily
"DL","dl_pdsch_trials",10,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","SelectedBeamIndex",4,4,4,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",10,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","BestBeamIndex",4,4,4,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",10,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","BeamHit",1,1,1,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",10,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","TopKBeamHit",1,1,1,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",10,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","BeamCandidateCount",32,32,32,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",10,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","SelectedBeamGain_dB",23.0810143847259,23.0810143847259,23.0810143847259,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",10,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","BestBeamGain_dB",23.0810143847259,23.0810143847259,23.0810143847259,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",10,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","BeamGainGap_dB",0,0,0,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",10,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","PMI",3,3,3,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",16,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","SelectedBeamIndex",4,4,4,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",16,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","BestBeamIndex",4,4,4,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",16,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","BeamHit",1,1,1,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",16,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","TopKBeamHit",1,1,1,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
