relative_path,extension,bytes,sha256,decode_ok,format,width_px,height_px,mode,grayscale_min,grayscale_max,grayscale_stddev,blank_or_constant,issue
analytics/image/contract__channel-estimation-propagation-analytics__serving-vs-interferer-decomposition.png,.png,34566,7f469cb6e8fb31a0526a2ff74d1ec881f21c7918969686ca392a989248af58d2,True,PNG,1100,620,RGBA,23,255,21.966987504062661,False,
analytics/image/contract__constellation-evm-analytics__constellation-per-codeword.png,.png,79892,71a98178ea3e08c3f693f9a6c364dbfbc05869d4ed8c97d5034f8d2bf5fff4a8,True,PNG,1180,760,RGBA,23,255,21.941144706724657,False,
analytics/image/contract__constellation-evm-analytics__constellation-per-layer.png,.png,78197,d5a507b34c9074a5b638f837b1aeed85d35152c88c99c580a672035ca35731a3,True,PNG,1180,760,RGBA,23,255,20.79297629839505,False,
analytics/image/contract__constellation-evm-analytics__constellation-per-modulation-order.png,.png,62256,87eebc3c6746f97ed01833ac3febb0a086257e5dad5ebdfc394fbc382cdeccd8,True,PNG,1180,760,RGBA,23,255,20.147962514050583,False,
analytics/image/contract__constellation-evm-analytics__evm-per-subcarrier.png,.png,50756,a2714e24e3741f1836c7d48b3505d720aede6656e46a692e3aef9807afa1bd5b,True,PNG,1180,700,RGBA,23,255,25.155146052611627,False,
analytics/image/contract__constellation-evm-analytics__evm-rms.png,.png,19356,bf4ed3114b758f35e39a0661af73b977b39cbcc195a805062125f827a72549b8,True,PNG,1100,620,RGBA,23,255,49.14254188642645,False,
analytics/image/contract__constellation-evm-analytics__post-equalization-constellation.png,.png,81934,da079fe7c3e3cdeb64735fb6e020f6ddd62bdfee620e9a5768c2887c152b94d3,True,PNG,1180,760,RGBA,23,255,22.703498224093472,False,
analytics/image/contract__constellation-evm-analytics__symbol-decision-error-histogram.png,.png,25124,d40bdc25884eb15a7d5158292e9a6201e8bf8ff0f6366d2624970e717ac6205d,True,PNG,1100,620,RGBA,23,255,43.14430285271763,False,
analytics/image/contract__error-reliability-analytics__crc-pass-fail-rates.png,.png,33807,5042b7881622f78dcf5b22fdc3e80d46108218f50e14a860880e6a55f5e61c6a,True,PNG,1100,620,RGBA,23,255,43.06560494334672,False,
analytics/image/contract__error-reliability-analytics__decoder-iteration-distributions.png,.png,22779,362f745accc932b6d9d9a18db6fcd0851a9cd22cf05fafe2473759e16ba73745,True,PNG,1100,620,RGBA,23,255,43.133258754727578,False,
analytics/image/contract__export-consistency-truth-analytics__assumption-usage-summaries.png,.png,28389,60239ccb3d7f600ef13e546329a7490c2933dcba621dec5313231d302f5f1b7b,True,PNG,1100,620,RGBA,23,255,39.870832338166814,False,
analytics/image/contract__export-consistency-truth-analytics__missing-field-audits.png,.png,26189,d00e8e5e62badbf4de436e741d7dbc5422bc726dbf6a30a92e0caaa0d6205f35,True,PNG,1100,620,RGBA,23,255,23.187942816438174,False,
analytics/image/contract__export-consistency-truth-analytics__schema-drift.png,.png,25127,16b0112baebff36660f18f2631641f67722308e9c42c6650adc60cbd7b3ecf4a,True,PNG,1100,620,RGBA,23,255,43.115655843345777,False,
analytics/image/contract__export-consistency-truth-analytics__source-row-count-vs-analytics-row-count.png,.png,32712,1eacfeb718d6f14418fdb352052c83ae758248fad27b9f83de0e8f363aa53207,True,PNG,1100,620,RGBA,23,255,22.956073655420422,False,
analytics/image/contract__export-consistency-truth-analytics__summary-vs-raw-contradiction-checks.png,.png,35238,b79b0ef80b0ca70621750f9c224af03c8bdb38b0eb01079b67431749d8a34b3f,True,PNG,1100,620,RGBA,23,255,21.434591632858304,False,
analytics/image/contract__harq-analytics__harq-rtt-distribution.png,.png,28404,793714098ad1b1f36fedb6ccb4b288eff43a74d73bbe0e51eb608155be5d49e2,True,PNG,1100,620,RGBA,23,255,52.747715889619023,False,
analytics/image/contract__impairments-tracking-analytics__cfo-true-vs-estimated-vs-residual.png,.png,57576,95b752693410e0bf960b6a698e8582d2b03b66cacdd8ec50abe4a255489ecd7c,True,PNG,1180,700,RGBA,23,255,23.031548107900619,False,
analytics/image/contract__impairments-tracking-analytics__timing-offset-true-vs-estimated-vs-residual.png,.png,33611,7c78af64df264b367bce6211dc0063bf7a93e69ded54df18b8ee58f27f222f36,True,PNG,1100,620,RGBA,23,255,48.967761057572702,False,
analytics/image/contract__measurement-csi-link-adaptation-analytics__applied-awgn-snr-vs-measured-runtime-sinr-comparison.png,.png,47920,3911c581b4e68bd9de86c88457539e59cccc96fd340c13c645e0765ec21b95db,True,PNG,1180,700,RGBA,23,255,26.50718875785952,False,
analytics/image/contract__measurement-csi-link-adaptation-analytics__config-vs-measured-conflict-dashboard.png,.png,30955,a5bffc315bf57ad6618abf0bcb580592931e7d1c332a0679d6c61c516d3290cf,True,PNG,1100,620,RGBA,23,255,20.607717582070617,False,
analytics/image/contract__measurement-csi-link-adaptation-analytics__cqi-pmi-ri-cri-ssbri-trends.png,.png,41570,24d96af83de4e3bc5aee8e12128510c16021e8d56c35a25a4e6f0226e3473c35,True,PNG,1180,700,RGBA,23,255,23.196070151084026,False,
analytics/image/contract__measurement-csi-link-adaptation-analytics__cqi-to-mcs-mapping-plot.png,.png,29114,ecb167c42df773a21bd061d3ba951c76010bf62b202587dd22fe1e6766f5e0bc,True,PNG,1100,620,RGBA,23,255,19.525558327914357,False,
analytics/image/contract__measurement-csi-link-adaptation-analytics__quality-vs-selected-mcs-mismatch-plot.png,.png,29296,18ca55c9b3cc83a5bfd0951e89f7424cbe2dd953dadcd8cae347288bb2c35879,True,PNG,1100,620,RGBA,23,255,22.95281183325422,False,
analytics/image/contract__measurement-csi-link-adaptation-analytics__selected-mcs-distribution.png,.png,20032,9e04939f3a10e37bd2a9c7d04a69ae07fdf277a80c7d2a4b40ee3d21a8bb354e,True,PNG,1100,620,RGBA,23,255,42.68639738381821,False,
analytics/image/contract__measurement-csi-link-adaptation-analytics__selected-vs-derived-mcs-confusion-matrix.png,.png,28142,840e6369b6b55c58bde42bc7b32f38cfd66bcda689937284e7e0bb0394b79b38,True,PNG,1180,760,RGBA,23,255,32.258455400510528,False,
analytics/image/contract__power-energy-efficiency-analytics__baseband-power.png,.png,29691,5d32efd37cd73f251e1a87961695ccdb0215f1599ce3d8144504f067c1c168c6,True,PNG,1100,620,RGBA,23,255,19.069278954593113,False,
analytics/image/contract__power-energy-efficiency-analytics__dl-tx-power-per-cell-beam-ue.png,.png,43246,42fdef061ba5daf0bc6cfe47da0b7fefeb7ce61ea9ce87077d54bfdc659f1907,True,PNG,1100,620,RGBA,23,255,56.173347977669586,False,
analytics/image/contract__power-energy-efficiency-analytics__energy-bit.png,.png,24973,899b83ceb734aac4611650ce2b5872bd88e4c379926ddc60eb906489e977d603,True,PNG,1100,620,RGBA,23,255,41.98630216003145,False,
analytics/image/contract__power-energy-efficiency-analytics__energy-efficiency-by-ue.png,.png,27257,2eb201a1cca105dc30a70da425b32b2e8da8722284bd9cce6a153558f6c49f8f,True,PNG,1100,620,RGBA,23,255,17.701168422358094,False,
analytics/image/contract__power-energy-efficiency-analytics__energy-per-bit-histogram.png,.png,23475,0c501fa139805f04403ae6fe6366ae53788b630703d526d1dc2ccb6efdfc6231,True,PNG,1100,620,RGBA,23,255,35.903669800271544,False,
analytics/image/contract__power-energy-efficiency-analytics__joules-gb.png,.png,24275,07543e3f32033147ef724923055bc2cf1ec07dc140c4ce57a2ad9f0ab18af688,True,PNG,1100,620,RGBA,23,255,41.906789170345263,False,
analytics/image/contract__power-energy-efficiency-analytics__papr-vs-power.png,.png,27030,c4d76179c556c5cfb7ca7a3184c856d6c29ea720d28d613cf34a44e6d8a51966,True,PNG,1100,620,RGBA,23,255,15.857967163596463,False,
analytics/image/contract__power-energy-efficiency-analytics__power-vs-throughput.png,.png,27592,1d1f7fe957b633fbe1b0bef717e01b593557369efe944883b42a20512dc4fc6f,True,PNG,1100,620,RGBA,23,255,17.102313542564325,False,
analytics/image/contract__random-access-prach-analytics__access-latency.png,.png,26899,d982c47d2fbbed5c7341ee72aa149e84e17517a530275f447aa324e967267edb,True,PNG,1100,620,RGBA,23,255,50.763233897247716,False,
analytics/image/contract__random-access-prach-analytics__timing-advance-distribution.png,.png,28829,27b19071f705687cf3eceb13b3b3b636deee04377204ef3085ae68d2d715686e,True,PNG,1100,620,RGBA,23,255,43.347231628716635,False,
analytics/image/contract__resource-grid-re-occupancy-analytics__csi-rs-map.png,.png,45084,abba767672b563665349855cdf2cee8405768b72c47487d6dd1e11d8ed48948b,True,PNG,1180,760,RGBA,23,255,56.318184350821987,False,
analytics/image/contract__resource-grid-re-occupancy-analytics__dmrs-ptrs-occupancy-map.png,.png,32921,d65def8389f9a932f4f7999c2136d67d1150900c0388325740a250e2fa6cfc2c,True,PNG,1100,620,RGBA,23,255,43.157869756949601,False,
analytics/image/contract__resource-grid-re-occupancy-analytics__pdsch-map.png,.png,36177,b1e68aa9d85ac5cbf359eed7a540d3a9d297398fcb8156b15a6435c7d3f3550c,True,PNG,1180,760,RGBA,23,255,49.808308032481101,False,
analytics/image/contract__resource-grid-re-occupancy-analytics__prb-heatmap.png,.png,36790,476be0a899dae8bf98b623a535bb541b6f16c9b9c0a6784b3d573612acb81da1,True,PNG,1180,760,RGBA,23,255,53.580618631022467,False,
analytics/image/contract__resource-grid-re-occupancy-analytics__pusch-map.png,.png,36143,c379dd8cd3c5d59702e04374e38d38f9e0cb787fb91ead24ef635898f0f54c39,True,PNG,1180,760,RGBA,23,255,53.501618628231618,False,
analytics/image/contract__resource-grid-re-occupancy-analytics__re-occupancy-heatmap.png,.png,42701,4f0451f463bef954202d23578f49bda59f6c2dc55272c9974e37c4bb0360683c,True,PNG,1180,760,RGBA,23,255,53.022305554076283,False,
analytics/image/contract__runtime-compute-complexity-parallelism-analytics__decoder-complexity-units.png,.png,27261,f9fa28a579eb0da83e1bab089aa5361a94e97685e6153fae3839f23943bc0595,True,PNG,1100,620,RGBA,23,255,46.071848550662111,False,
analytics/image/contract__runtime-compute-complexity-parallelism-analytics__latency-cdf.png,.png,26464,f1fd66a0e86429c395e66c0a52d9695a7e81ebecf78a715df8a47b6f21740bfe,True,PNG,1100,620,RGBA,23,255,17.4370625602171,False,
analytics/image/contract__runtime-compute-complexity-parallelism-analytics__normalized-decoder-complexity.png,.png,28628,c7d9e8d43610e57e4641b44aa25aef7391470a3b62db71d7c04c64fd9251ad79,True,PNG,1100,620,RGBA,23,255,46.537594943878254,False,
analytics/image/contract__spectrum-psd-papr-analytics__papr-histogram-cdf.png,.png,28005,b4334165d6d66471ea240024a18ee42f57eb4f5ced3146be7d8c2c9874f9d121,True,PNG,1100,620,RGBA,23,255,51.224183849729613,False,
analytics/image/contract__spectrum-psd-papr-analytics__power-spectral-comparison-before-after-impairment.png,.png,77261,70da425efb9031f7ee24f350da3aad971002a57ba9f69e380af910e6d9285372,True,PNG,1180,700,RGBA,23,255,34.49072002832942,False,
analytics/image/contract__spectrum-psd-papr-analytics__psd.png,.png,70960,5a79a23daa982b575f6010a80fa9e58067bef6b7236800eb4e611ede1366e10b,True,PNG,1180,700,RGBA,23,255,30.272130373274901,False,
analytics/image/contract__throughput-goodput-spectral-efficiency-analytics__goodput-over-time.png,.png,36194,4a8c77e5df8c9c8292d21094a40165ed50586251b72f4e780e4d3b5b43676f7f,True,PNG,1180,700,RGBA,23,255,18.074798904004766,False,
analytics/image/contract__throughput-goodput-spectral-efficiency-analytics__goodput.png,.png,22382,71939fe2dc9c14565c4df6aa5fa4eca4a97381ba4f92aff0d5bc20aea7cedab7,True,PNG,1100,620,RGBA,23,255,51.567902514149402,False,
analytics/image/contract__throughput-goodput-spectral-efficiency-analytics__offered-throughput.png,.png,24290,683ee3ea323b1539f75906c5581a01e448db5cb03345d0fc034f18dbea6089d0,True,PNG,1100,620,RGBA,23,255,52.177340784163952,False,
analytics/image/contract__throughput-goodput-spectral-efficiency-analytics__per-ue-throughput.png,.png,20819,22da08076d1e92127fd2d4929341520c266f9570b7ceb363cf2c5a85e6e1c080,True,PNG,1100,620,RGBA,23,255,51.747905052922093,False,
analytics/image/contract__throughput-goodput-spectral-efficiency-analytics__spectral-efficiency.png,.png,24698,d56cf000fd7c0a819f5713b59161984608c67b9b8ebff41036da3b1ee7cd2811,True,PNG,1100,620,RGBA,23,255,52.036205210938562,False,
analytics/image/contract__throughput-goodput-spectral-efficiency-analytics__throughput-over-time.png,.png,36392,b8e488026d4e1d4a2235b9bab5e988d9c7ffb6c3076d57bae65f276c7ad2fced,True,PNG,1180,700,RGBA,23,255,18.634682590460272,False,
analytics/image/contract__throughput-goodput-spectral-efficiency-analytics__throughput-percentile-plots.png,.png,22573,9e87f222d9f286b8538db13ea710cc49ef500a7739001c93adf0df95b9bb20c8,True,PNG,1100,620,RGBA,23,255,52.455622563690739,False,
analytics/image/contract__throughput-goodput-spectral-efficiency-analytics__throughput-vs-sinr.png,.png,28370,c000bfb56f79ede9cbe7d24d75706802da600659b6a16ad6b33bf87977078ba3,True,PNG,1100,620,RGBA,23,255,20.634723389302589,False,
analytics/image/contract__throughput-goodput-spectral-efficiency-analytics__throughput-vs-snr.png,.png,29717,eeb898db0f6a5b3d98e289676ed66cb6b219ac110e694dd32b6f325c3ed6fde1,True,PNG,1100,620,RGBA,23,255,20.736042597969739,False,
analytics/image/contract__throughput-goodput-spectral-efficiency-analytics__throughput.png,.png,22404,c4069304b8f3ca1fe9aaca55f9a5992904020e3929433cdbd6045a9b52ad10fe,True,PNG,1100,620,RGBA,23,255,51.728359817664661,False,
analytics/image/contract__waveform-time-domain-analytics__magnitude-vs-sample.png,.png,72274,e958d8bc5fa9fb21585f5a29cd9abd308da7ec19443cd49180ebde656a150a02,True,PNG,1180,700,RGBA,23,255,31.872337751258215,False,
analytics/image/contract__waveform-time-domain-analytics__phase-vs-sample.png,.png,109832,b5db52a1e13dc276ac22196b2dc9c33baca0836c163ed9b98a97a61eb952c821,True,PNG,1180,700,RGBA,23,255,40.515478631405657,False,
analytics/image/contract__waveform-time-domain-analytics__power-vs-sample.png,.png,60682,1887621c7e49c3e0a3877c8ea98aa954a171a04dd70b4a38cf4035e59ee2f0fa,True,PNG,1180,700,RGBA,23,255,28.907938572629078,False,
analytics/image/contract__waveform-time-domain-analytics__rx-waveform.png,.png,100491,1293b976462c2954821e77b322f0ef6115bbfee290c4261ff6328a63ce76de7a,True,PNG,1180,700,RGBA,23,255,33.843872710333308,False,
analytics/image/contract__waveform-time-domain-analytics__tx-waveform.png,.png,98127,7d8a367939a26516be7c95f01ff56dc4e491c9ee6ddb31ebe92a15a6fc7e7b96,True,PNG,1180,700,RGBA,23,255,34.246196935556107,False,
channel/image/contract__channel-estimation-propagation-analytics__estimator-bias-variance-summaries.png,.png,27252,aa5cafffde11d99715ada312b9e95d63c35ff270cbdfda71d9b32a5d7ab6be3d,True,PNG,1100,620,RGBA,23,255,43.471467531459375,False,
channel/image/contract__channel-estimation-propagation-analytics__noise-variance-trend.png,.png,27448,63c5b83f525004bfeb7195cd47c55e881e173d1859e47600d330ef74b5efcb1c,True,PNG,1100,620,RGBA,23,255,18.734220029769464,False,
channel/image/contract__channel-estimation-propagation-analytics__serving-vs-interferer-decomposition.png,.png,34566,7f469cb6e8fb31a0526a2ff74d1ec881f21c7918969686ca392a989248af58d2,True,PNG,1100,620,RGBA,23,255,21.966987504062661,False,
channel/image/contract__channel-interference-impairments__cfo-true-vs-estimated-vs-residual.png,.png,57576,95b752693410e0bf960b6a698e8582d2b03b66cacdd8ec50abe4a255489ecd7c,True,PNG,1180,700,RGBA,23,255,23.031548107900619,False,
channel/image/contract__channel-interference-impairments__channel-quality-timeline.png,.png,36713,6d8ea92c4bb516dc8fc0bd463416c4dfa4aa53e712f1a137a9123dfbf226e2c0,True,PNG,1100,620,RGBA,23,255,20.549835111807369,False,
channel/image/contract__channel-interference-impairments__interference-power-timeline.png,.png,33055,f67ead532baf8a8a57759924736ab193ae012ff74871ad3fe8fa05e0cc6aae78,True,PNG,1100,620,RGBA,23,255,20.717540078168,False,
channel/image/contract__channel-interference-impairments__timing-offset-true-vs-estimated-vs-residual.png,.png,33611,7c78af64df264b367bce6211dc0063bf7a93e69ded54df18b8ee58f27f222f36,True,PNG,1100,620,RGBA,23,255,48.967761057572702,False,
channel/image/contract__geometry-mobility-validation__measured-sinr-vs-slot.png,.png,31186,7f965657e82f03f7ffb6d401b24dcfd02f422043c0d8458a0ff5915e6dc98bee,True,PNG,1100,620,RGBA,23,255,19.503491627408344,False,
channel/image/contract__scenario-geometry-topology-layout__bs-sector-ue-topology-scatter-plot.png,.png,29803,5172d5f6700036c962ba0bf58f79cd21b132d3bb91127c6beb549cc0846c06db,True,PNG,1180,700,RGBA,23,255,18.877731690563863,False,
channel/image/contract__scenario-geometry-topology-layout__serving-cell-map.png,.png,26417,5cdc81d8ae0f87911c1196269091475f5c4a4b4861e10721a42377e454dcaf15,True,PNG,1180,700,RGBA,23,255,15.28447770746261,False,
frame_grid/image/contract__air-interface-frame-slot-symbol-grid__dl-ul-guard-slot-pattern-chart.png,.png,40130,b87867c4cf242a7e4caa63346f0010a101c013bf503194a5be67ec27b2856eb5,True,PNG,1100,620,RGBA,23,255,27.21347955065114,False,
frame_grid/image/contract__air-interface-frame-slot-symbol-grid__frame-slot-symbol-occupancy-timeline.png,.png,40931,0b0c6c225f41603511a9f4bb54c48034813ee38e0aeefd4fe423f656322e081b,True,PNG,1100,620,RGBA,23,255,27.976324691444919,False,
frame_grid/image/contract__air-interface-frame-slot-symbol-grid__prb-heatmap.png,.png,36790,476be0a899dae8bf98b623a535bb541b6f16c9b9c0a6784b3d573612acb81da1,True,PNG,1180,760,RGBA,23,255,53.580618631022467,False,
frame_grid/image/contract__air-interface-frame-slot-symbol-grid__re-occupancy-heatmap.png,.png,42701,4f0451f463bef954202d23578f49bda59f6c2dc55272c9974e37c4bb0360683c,True,PNG,1180,760,RGBA,23,255,53.022305554076283,False,
frame_grid/image/contract__resource-grid-re-occupancy-analytics__prb-heatmap.png,.png,36790,476be0a899dae8bf98b623a535bb541b6f16c9b9c0a6784b3d573612acb81da1,True,PNG,1180,760,RGBA,23,255,53.580618631022467,False,
frame_grid/image/contract__resource-grid-re-occupancy-analytics__re-occupancy-heatmap.png,.png,42701,4f0451f463bef954202d23578f49bda59f6c2dc55272c9974e37c4bb0360683c,True,PNG,1180,760,RGBA,23,255,53.022305554076283,False,
mac_harq_scheduler/image/contract__harq-analytics__harq-rtt-distribution.png,.png,28404,793714098ad1b1f36fedb6ccb4b288eff43a74d73bbe0e51eb608155be5d49e2,True,PNG,1100,620,RGBA,23,255,52.747715889619023,False,
mimo/image/contract__beamforming-precoding-mimo-analytics__beam-gain-gap-histogram.png,.png,21145,aa113a7ac762b2e246a41afe3eedce799196899c87036c014fbc361f5567f2e3,True,PNG,1100,620,RGBA,23,255,47.696249614518287,False,
mimo/image/contract__beamforming-precoding-mimo-analytics__beam-pattern-3d.png,.png,41783,bad8bafd09d1cc7c072eda36570adbd725c63466ed40d2f090903663359d52f7,True,PNG,1180,760,RGBA,23,255,53.155536436966841,False,
mimo/image/contract__beamforming-precoding-mimo-analytics__condition-number-distribution.png,.png,21161,09ac7d70d92c89a6d15f48f3f97f63f9d043765e5ec6dd82a24127ceeb6c22f0,True,PNG,1100,620,RGBA,23,255,47.972268322741286,False,
mimo/image/contract__beamforming-precoding-mimo-analytics__inter-user-leakage.png,.png,34957,8b2300a80bf82e0448387adf7107e7ab149d722266ce5dd27c5f1d7797838687,True,PNG,1100,620,RGBA,23,255,19.253616302134645,False,
mimo/image/contract__beamforming-precoding-mimo-analytics__mu-grouping-analytics.png,.png,26527,1517924e1b4a7e5e526e5075455004cbc31dafcf7a36d54a5e6dc98e46193c9c,True,PNG,1100,620,RGBA,23,255,50.07465267129831,False,
mimo/image/contract__beamforming-precoding-mimo-analytics__per-layer-sinr.png,.png,24970,b54b9df7cb9e3414d793e6811e171775cbf2b5be78e7a58e2fdb26fa10741233,True,PNG,1100,620,RGBA,23,255,42.197745431416834,False,
mimo/image/contract__beamforming-precoding-mimo-analytics__precoder-mode-distribution.png,.png,30257,b2dc4414afb2423250cdc009654a89198c0210f115efcb165d98a6adf0185528,True,PNG,1100,620,RGBA,23,255,48.264147764928573,False,
mimo/image/contract__beamforming-precoding-mimo-analytics__selected-vs-best-beam-gap.png,.png,21268,bf123a1138efcd4ee83c91db2ae175804167497f6352e11705f77dd987432b8a,True,PNG,1100,620,RGBA,23,255,47.657238767232663,False,
mimo/image/contract__beamforming-precoding-mimo-massive-mimo__beam-gain-gap-histogram.png,.png,21145,aa113a7ac762b2e246a41afe3eedce799196899c87036c014fbc361f5567f2e3,True,PNG,1100,620,RGBA,23,255,47.696249614518287,False,
mimo/image/contract__beamforming-precoding-mimo-massive-mimo__condition-number-distribution.png,.png,21161,09ac7d70d92c89a6d15f48f3f97f63f9d043765e5ec6dd82a24127ceeb6c22f0,True,PNG,1100,620,RGBA,23,255,47.972268322741286,False,
mimo/image/contract__beamforming-precoding-mimo-massive-mimo__mu-grouping-summary.png,.png,26318,a06a99dbe2c3aee67bfc10f59870aeeb84049598cf952c53539178b3f2bc25cc,True,PNG,1100,620,RGBA,23,255,50.071172857679493,False,
mimo/image/contract__beamforming-precoding-mimo-massive-mimo__precoder-mode-distribution.png,.png,30257,b2dc4414afb2423250cdc009654a89198c0210f115efcb165d98a6adf0185528,True,PNG,1100,620,RGBA,23,255,48.264147764928573,False,
mimo/image/contract__constellation-evm-analytics__constellation-per-layer.png,.png,78197,d5a507b34c9074a5b638f837b1aeed85d35152c88c99c580a672035ca35731a3,True,PNG,1180,760,RGBA,23,255,20.79297629839505,False,
mimo/image/contract__power-energy-efficiency-analytics__dl-tx-power-per-cell-beam-ue.png,.png,43246,42fdef061ba5daf0bc6cfe47da0b7fefeb7ce61ea9ce87077d54bfdc659f1907,True,PNG,1100,620,RGBA,23,255,56.173347977669586,False,
pdsch/image/contract__pdsch-dl-data-chain__code-block-count-histogram.png,.png,26241,c060cb14c21ec4160f02ad8d142fc7f9c525008def62cae8e273c525303d7b96,True,PNG,1100,620,RGBA,23,255,50.220095904607795,False,
pdsch/image/contract__pdsch-dl-data-chain__dl-resource-grid-heatmap.png,.png,38137,4b07cef93a9c370047d6b9a4932fcd21878b678d3afa9fd4da290d825b1d29a7,True,PNG,1180,760,RGBA,23,255,50.343379043622768,False,
pdsch/image/contract__pdsch-dl-data-chain__dmrs-ptrs-occupancy-plot.png,.png,32915,3e0477325daa9d00e2a85000358380d205b4ae43d056f3dc52c4f896764051be,True,PNG,1100,620,RGBA,23,255,43.153652437284578,False,
pdsch/image/contract__pdsch-dl-data-chain__mcs-code-rate-timeline.png,.png,28417,c35873b0e38ead939d4baf089631f066b97d5f58f26680210475ddea986abd6b,True,PNG,1100,620,RGBA,23,255,19.602387141277848,False,
pdsch/image/contract__pdsch-dl-data-chain__precoder-beam-selection-timeline.png,.png,37972,e0e3dbf3ce20e6bdc875770d5f6f7bb31e13a27f22c6af0f36a00844ad62debd,True,PNG,1100,620,RGBA,23,255,23.477741259357835,False,
pdsch/image/contract__pdsch-dl-data-chain__tb-size-over-time.png,.png,28297,3b841e1a01851a98732462f79c99904cac1fb8e10e8eaf067cf4314439720c35,True,PNG,1100,620,RGBA,23,255,18.468070500284117,False,
pdsch/image/contract__resource-grid-re-occupancy-analytics__pdsch-map.png,.png,36177,b1e68aa9d85ac5cbf359eed7a540d3a9d297398fcb8156b15a6435c7d3f3550c,True,PNG,1180,760,RGBA,23,255,49.808308032481101,False,
prach/image/contract__prach-random-access__access-attempt-success-timeline.png,.png,30334,c9c6c812164d80e446dc7df08efa6df8092e9f81b1da968d8b172f9c7b234edc,True,PNG,1100,620,RGBA,23,255,48.363744130301654,False,
prach/image/contract__prach-random-access__preamble-usage-chart.png,.png,27044,50c09751c0dce28256e336190356a269d8b859265ca154af4c7043c429323e9a,True,PNG,1100,620,RGBA,23,255,42.805166151448383,False,
prach/image/contract__prach-random-access__ta-estimate-trend.png,.png,26607,a0693af7fa26ca84f11b69b7f447f5e0683baec205999796935c29d9eb2c7b74,True,PNG,1100,620,RGBA,23,255,51.23608583948937,False,
prach/image/contract__random-access-prach-analytics__access-latency.png,.png,26899,d982c47d2fbbed5c7341ee72aa149e84e17517a530275f447aa324e967267edb,True,PNG,1100,620,RGBA,23,255,50.763233897247716,False,
prach/image/contract__random-access-prach-analytics__timing-advance-distribution.png,.png,28829,27b19071f705687cf3eceb13b3b3b636deee04377204ef3085ae68d2d715686e,True,PNG,1100,620,RGBA,23,255,43.347231628716635,False,
pucch/image/contract__scheduler-mac-queue-qos-power-control-uci-flow__cqi-vs-selected-mcs.png,.png,35049,b23050cc86444454cc3781c0a683ef93246f88c3ba5a61ef155507cd36f131dc,True,PNG,1100,620,RGBA,23,255,19.610721897660007,False,
pucch/image/contract__scheduler-mac-queue-qos-power-control-uci-flow__grant-reason-distribution.png,.png,31606,bbe2043ce222a9475ecbfcfb1fa165aaa984e0428d165f535c19b6c728a8358d,True,PNG,1100,620,RGBA,23,255,52.848407852915606,False,
