Direction,Modulation,SNR_dB,SampleIndex,ReferenceSymbolReal,ReferenceSymbolImag,TxReal,TxImag,RawEqualizedReal,RawEqualizedImag,EqualizedReal,EqualizedImag,HardDecisionReal,HardDecisionImag,DecisionReal,DecisionImag,DetectorOutputReal,DetectorOutputImag,Frame,Slot,UEIndex,RNTI,BeamSelectionStrategy,ConfiguredTxAntennas,ConfiguredRxAntennas
"DL","QPSK",12,1,-0.707106781186548,0.707106781186548,-0.707106781186548,0.707106781186548,-0.611887648448037,0.742316329372189,-0.403302161029713,0.545906993065604,-0.707106781186547,0.707106781186547,-0.707106781186547,0.707106781186547,-0.611887648448037,0.742316329372189,7,7,3,3,"runtime_best_beam_per_link",64,4
"DL","QPSK",12,32,0.707106781186548,0.707106781186548,0.707106781186548,0.707106781186548,0.72641325114147,0.74459219431306,0.53967214041997,0.497393615497199,0.707106781186547,0.707106781186547,0.707106781186547,0.707106781186547,1.03926311032351,1.02729203683559,7,7,3,3,"runtime_best_beam_per_link",64,4
"DL","QPSK",12,62,0.707106781186548,-0.707106781186548,0.707106781186548,-0.707106781186548,0.694264832144369,-0.721076306823061,0.462135737928578,-0.534027375604222,0.707106781186547,-0.707106781186547,0.707106781186547,-0.707106781186547,-1.64127729731144,-1.34768019721056,7,7,3,3,"runtime_best_beam_per_link",64,4
"DL","QPSK",12,93,0.707106781186548,0.707106781186548,0.707106781186548,0.707106781186548,0.683720826176885,0.673936431774757,0.50694761396866,0.449212419468224,0.707106781186547,0.707106781186547,0.707106781186547,0.707106781186547,0.794142557314796,0.676398290606289,7,7,3,3,"runtime_best_beam_per_link",64,4
"DL","QPSK",12,124,-0.707106781186548,0.707106781186548,-0.707106781186548,0.707106781186548,-0.654242728881626,0.731800349391254,-0.433536893803646,0.540084161517303,-0.707106781186547,0.707106781186547,-0.707106781186547,0.707106781186547,1.11656983434276,-1.23929720303252,7,7,3,3,"runtime_best_beam_per_link",64,4
"DL","QPSK",12,155,-0.707106781186548,-0.707106781186548,-0.707106781186548,-0.707106781186548,-0.669445380692763,-0.720514705139323,-0.498634231938516,-0.482563353487475,-0.707106781186547,-0.707106781186547,-0.707106781186547,-0.707106781186547,-0.668140981687291,0.705035866506822,7,7,3,3,"runtime_best_beam_per_link",64,4
"DL","QPSK",12,185,-0.707106781186548,0.707106781186548,-0.707106781186548,0.707106781186548,-0.69424625414276,0.701618207487658,-0.462851317708652,0.520317633383589,-0.707106781186547,0.707106781186547,-0.707106781186547,0.707106781186547,0.683720826176885,0.673936431774757,7,7,3,3,"runtime_best_beam_per_link",64,4
"DL","QPSK",12,216,0.707106781186548,0.707106781186548,0.707106781186548,0.707106781186548,0.950720648666401,0.639872314341453,0.693784543091424,0.415214186207746,0.707106781186547,0.707106781186547,0.707106781186547,0.707106781186547,0.294798311164269,-2.75676557803822,7,7,3,3,"runtime_best_beam_per_link",64,4
"DL","QPSK",12,247,-0.707106781186548,-0.707106781186548,-0.707106781186548,-0.707106781186548,-0.675054185192864,-0.637734085796778,-0.499485893252003,-0.424030898612282,-0.707106781186547,-0.707106781186547,-0.707106781186547,-0.707106781186547,-0.654242728881626,0.731800349391254,7,7,3,3,"runtime_best_beam_per_link",64,4
"DL","QPSK",12,278,-0.707106781186548,-0.707106781186548,-0.707106781186548,-0.707106781186548,-0.685960439462115,-0.704687384872935,-0.509677080021064,-0.470793885508123,-0.707106781186547,-0.707106781186547,-0.707106781186547,-0.707106781186547,-1.40735790674391,-1.84786100788973,7,7,3,3,"runtime_best_beam_per_link",64,4
