TestID,CellID,CCID,BWPID,Frame,Slot,Symbol,CommonDirection,DedicatedDirection,ResolvedDirection,ResolutionSource,AllocationOwner,Status,IndexConvention
TDD-001,0,0,0,0,4,10,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,4,11,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,4,12,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,4,13,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,5,0,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,5,1,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,5,2,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,5,3,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,5,4,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,5,5,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,5,6,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,5,7,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,5,8,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,5,9,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,5,10,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,5,11,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,5,12,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,5,13,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,6,0,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,6,1,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,6,2,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,6,3,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,6,4,F,,UNRESOLVED_FLEX,unresolved_flexible,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,6,5,F,,UNRESOLVED_FLEX,unresolved_flexible,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,6,6,F,,UNRESOLVED_FLEX,unresolved_flexible,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,6,7,F,,UNRESOLVED_FLEX,unresolved_flexible,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,6,8,F,,UNRESOLVED_FLEX,unresolved_flexible,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,6,9,F,,UNRESOLVED_FLEX,unresolved_flexible,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,6,10,F,,UNRESOLVED_FLEX,unresolved_flexible,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,6,11,F,,UNRESOLVED_FLEX,unresolved_flexible,,PASS,zero_based_phy_indices
