RunId,CellId,UEId,AttemptId,Frame,Slot,Symbol,StateBefore,StateAfter,Event,TimerName,TimerValueSlots,RNTI,PreambleIndex,FailureReason,StrictOkContribution
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue2_trial1_slot_10_snr_20000",1,2,1,0,0,0,"MSG2_RAR_TX","MSG2_RAR_RX","rar_pdcch_pdsch_decode","ra-ResponseWindow",20,1,1,"",1
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue2_trial1_slot_10_snr_20000",1,2,1,0,0,0,"MSG3_PUSCH_TX","MSG3_PUSCH_RX","pusch_ulsch_decode","",NaN,4660,1,"",1
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue2_trial1_slot_10_snr_20000",1,2,1,0,0,0,"MSG4_CONTENTION_RESOLUTION_RX","RA_SUCCESS","contention_resolution_identity_match","ra-ContentionResolutionTimer",64,4660,1,"",1
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue2_trial1_slot_10_snr_20000",1,2,1,0,0,0,"RRC_SETUP_COMPLETE_TX","RRC_CONNECTED","pusch_ulsch_srb1_ul_dcch_decode","T300",1,4660,1,"",1
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue3_trial1_slot_10_snr_20000",1,3,1,0,0,0,"IDLE","TRIGGERED","ra_triggered","",NaN,NaN,NaN,"",1
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue3_trial1_slot_10_snr_20000",1,3,1,0,0,0,"TRIGGERED","MSG1_RESOURCE_SELECTION","prach_occasion_preamble_selected","",NaN,NaN,2,"",1
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue3_trial1_slot_10_snr_20000",1,3,1,0,0,0,"MSG1_RESOURCE_SELECTION","MSG1_PRACH_TX","msg1_prach_waveform_tx","",NaN,NaN,2,"",1
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue3_trial1_slot_10_snr_20000",1,3,1,0,0,0,"MSG1_PRACH_TX","MSG1_PRACH_DETECTED","prach_correlation_detection","",NaN,1,2,"",1
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue3_trial1_slot_10_snr_20000",1,3,1,0,0,0,"MSG2_RAR_TX","MSG2_RAR_RX","rar_pdcch_pdsch_decode","ra-ResponseWindow",20,1,2,"",1
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue3_trial1_slot_10_snr_20000",1,3,1,0,0,0,"MSG3_PUSCH_TX","MSG3_PUSCH_RX","pusch_ulsch_decode","",NaN,4660,2,"",1
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue3_trial1_slot_10_snr_20000",1,3,1,0,0,0,"MSG4_CONTENTION_RESOLUTION_RX","RA_SUCCESS","contention_resolution_identity_match","ra-ContentionResolutionTimer",64,4660,2,"",1
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue3_trial1_slot_10_snr_20000",1,3,1,0,0,0,"RRC_SETUP_COMPLETE_TX","RRC_CONNECTED","pusch_ulsch_srb1_ul_dcch_decode","T300",1,4660,2,"",1
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue4_trial1_slot_10_snr_20000",1,4,1,0,0,0,"IDLE","TRIGGERED","ra_triggered","",NaN,NaN,NaN,"",1
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue4_trial1_slot_10_snr_20000",1,4,1,0,0,0,"TRIGGERED","MSG1_RESOURCE_SELECTION","prach_occasion_preamble_selected","",NaN,NaN,3,"",1
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue4_trial1_slot_10_snr_20000",1,4,1,0,0,0,"MSG1_RESOURCE_SELECTION","MSG1_PRACH_TX","msg1_prach_waveform_tx","",NaN,NaN,3,"",1
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue4_trial1_slot_10_snr_20000",1,4,1,0,0,0,"MSG1_PRACH_TX","MSG1_PRACH_DETECTED","prach_correlation_detection","",NaN,1,3,"",1
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue4_trial1_slot_10_snr_20000",1,4,1,0,0,0,"MSG2_RAR_TX","MSG2_RAR_RX","rar_pdcch_pdsch_decode","ra-ResponseWindow",20,1,3,"",1
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue4_trial1_slot_10_snr_20000",1,4,1,0,0,0,"MSG3_PUSCH_TX","MSG3_PUSCH_RX","pusch_ulsch_decode","",NaN,4660,3,"",1
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue4_trial1_slot_10_snr_20000",1,4,1,0,0,0,"MSG4_CONTENTION_RESOLUTION_RX","RA_SUCCESS","contention_resolution_identity_match","ra-ContentionResolutionTimer",64,4660,3,"",1
"ra_webgui_sinr_sweep_64x4_mu_mimo_repair_slice_ue4_trial1_slot_10_snr_20000",1,4,1,0,0,0,"RRC_SETUP_COMPLETE_TX","RRC_CONNECTED","pusch_ulsch_srb1_ul_dcch_decode","T300",1,4660,3,"",1
