PairID,FamilyID,BaselineExperimentID,TreatmentExperimentID,SharedStateDigest,Complete,Status
F63-P01,F63,F63-P01-B,F63-P01-T,7459c9bcb715a8a747e1c6b5d8a93c5518399ac884ace8de059556c0f4d3f8f7,1,PASS
F63-P02,F63,F63-P02-B,F63-P02-T,95612c97ce39ae15c7ddb3bbc2700c82dacc390b24815a3e22ce757140b6d068,1,PASS
F63-P03,F63,F63-P03-B,F63-P03-T,f31b3ebb84f7a8198bef118155dec2bae97046151e0b52c664dc25c247770909,1,PASS
F63-P04,F63,F63-P04-B,F63-P04-T,6a598d8e1170acf0ec2e71c39ae5b5dd0f171ce6dea09b76bfd0bbf4c41caeff,1,PASS
F63-P05,F63,F63-P05-B,F63-P05-T,53b26fe0c075fea1990204c8e4f06ec0b053bb90730452dc014a7b34c7c0f64b,1,PASS
F63-P06,F63,F63-P06-B,F63-P06-T,342499945b53668e4336a9e1b0d3a013f1d4d02d49607706766309bd93bb99c7,1,PASS
F64-P01,F64,F64-P01-B,F64-P01-T,7459c9bcb715a8a747e1c6b5d8a93c5518399ac884ace8de059556c0f4d3f8f7,1,PASS
F64-P02,F64,F64-P02-B,F64-P02-T,95612c97ce39ae15c7ddb3bbc2700c82dacc390b24815a3e22ce757140b6d068,1,PASS
F64-P03,F64,F64-P03-B,F64-P03-T,f31b3ebb84f7a8198bef118155dec2bae97046151e0b52c664dc25c247770909,1,PASS
F64-P04,F64,F64-P04-B,F64-P04-T,6a598d8e1170acf0ec2e71c39ae5b5dd0f171ce6dea09b76bfd0bbf4c41caeff,1,PASS
F64-P05,F64,F64-P05-B,F64-P05-T,53b26fe0c075fea1990204c8e4f06ec0b053bb90730452dc014a7b34c7c0f64b,1,PASS
F64-P06,F64,F64-P06-B,F64-P06-T,342499945b53668e4336a9e1b0d3a013f1d4d02d49607706766309bd93bb99c7,1,PASS
