FamilyID,PairID,OrphanNodes,UnownedBytes,DuplicateDeliveredBytes,ConservationErrorBytes,GoodputAccountingErrorBits,Status,ExecutionBackend,ApproximationMode,EvidenceClass
F01,F01-P01,0,0,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P02,0,0,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P03,0,0,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P04,0,0,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P05,0,0,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P06,0,0,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P01,0,0,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P02,0,0,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P03,0,0,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P04,0,0,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P05,0,0,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P06,0,0,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
