Direction,UEIndex,RNTI,PacketId,ApplicationPacketId,MACSDUId,TransportBlockId,GrantContextId,HARQProcessId,NDI,RV,SegmentIndex,PayloadBits,ScheduleSlot,ScheduleCanonicalSlot,ScheduleTime_s,HARQAttemptCount,LastAttemptSlot,LastRV,TBCrcPass,DeliverySuccess,FirstSuccessDelivery,ReassemblyCompleteFlag,ApplicationDeliveryFlag,Status,Notes
"DL",2,2,"DL_ue2_frame1_pkt25","DL_ue2_frame1_pkt25","DL_ue2_frame1_pkt25_macsdu1","dir=DL;frame=1;slot=16;ue=2;rnti=2;cell=1;harq=0","dir=DL;frame=1;slot=16;ue=2;rnti=2;cell=1;harq=0",0,1,0,1,24000,16,16,0.0075,1,16,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"DL",2,2,"DL_ue2_frame1_pkt33","DL_ue2_frame1_pkt33","DL_ue2_frame1_pkt33_macsdu1","dir=DL;frame=1;slot=16;ue=2;rnti=2;cell=1;harq=0","dir=DL;frame=1;slot=16;ue=2;rnti=2;cell=1;harq=0",0,1,0,1,24000,16,16,0.0075,1,16,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"DL",2,2,"DL_ue2_frame1_pkt41","DL_ue2_frame1_pkt41","DL_ue2_frame1_pkt41_macsdu1","dir=DL;frame=1;slot=16;ue=2;rnti=2;cell=1;harq=0","dir=DL;frame=1;slot=16;ue=2;rnti=2;cell=1;harq=0",0,1,0,1,24000,16,16,0.0075,1,16,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"DL",2,2,"DL_ue2_frame1_pkt49","DL_ue2_frame1_pkt49","DL_ue2_frame1_pkt49_macsdu1","dir=DL;frame=1;slot=16;ue=2;rnti=2;cell=1;harq=0","dir=DL;frame=1;slot=16;ue=2;rnti=2;cell=1;harq=0",0,1,0,1,24000,16,16,0.0075,1,16,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"DL",2,2,"DL_ue2_frame1_pkt57","DL_ue2_frame1_pkt57","DL_ue2_frame1_pkt57_macsdu1","dir=DL;frame=1;slot=16;ue=2;rnti=2;cell=1;harq=0","dir=DL;frame=1;slot=16;ue=2;rnti=2;cell=1;harq=0",0,1,0,1,4424,16,16,0.0075,1,16,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"DL",3,3,"DL_ue3_frame1_pkt1","DL_ue3_frame1_pkt1","DL_ue3_frame1_pkt1_macsdu1","dir=DL;frame=1;slot=17;ue=3;rnti=3;cell=1;harq=0","dir=DL;frame=1;slot=17;ue=3;rnti=3;cell=1;harq=0",0,1,0,1,36000,17,17,0.008,1,17,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"DL",3,3,"DL_ue3_frame1_pkt9","DL_ue3_frame1_pkt9","DL_ue3_frame1_pkt9_macsdu1","dir=DL;frame=1;slot=17;ue=3;rnti=3;cell=1;harq=0","dir=DL;frame=1;slot=17;ue=3;rnti=3;cell=1;harq=0",0,1,0,1,24000,17,17,0.008,1,17,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"DL",3,3,"DL_ue3_frame1_pkt17","DL_ue3_frame1_pkt17","DL_ue3_frame1_pkt17_macsdu1","dir=DL;frame=1;slot=17;ue=3;rnti=3;cell=1;harq=0","dir=DL;frame=1;slot=17;ue=3;rnti=3;cell=1;harq=0",0,1,0,1,24000,17,17,0.008,1,17,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"DL",3,3,"DL_ue3_frame1_pkt25","DL_ue3_frame1_pkt25","DL_ue3_frame1_pkt25_macsdu1","dir=DL;frame=1;slot=17;ue=3;rnti=3;cell=1;harq=0","dir=DL;frame=1;slot=17;ue=3;rnti=3;cell=1;harq=0",0,1,0,1,24000,17,17,0.008,1,17,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"DL",3,3,"DL_ue3_frame1_pkt33","DL_ue3_frame1_pkt33","DL_ue3_frame1_pkt33_macsdu1","dir=DL;frame=1;slot=17;ue=3;rnti=3;cell=1;harq=0","dir=DL;frame=1;slot=17;ue=3;rnti=3;cell=1;harq=0",0,1,0,1,24000,17,17,0.008,1,17,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"DL",3,3,"DL_ue3_frame1_pkt41","DL_ue3_frame1_pkt41","DL_ue3_frame1_pkt41_macsdu1","dir=DL;frame=1;slot=17;ue=3;rnti=3;cell=1;harq=0","dir=DL;frame=1;slot=17;ue=3;rnti=3;cell=1;harq=0",0,1,0,1,24000,17,17,0.008,1,17,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"DL",3,3,"DL_ue3_frame1_pkt49","DL_ue3_frame1_pkt49","DL_ue3_frame1_pkt49_macsdu1","dir=DL;frame=1;slot=17;ue=3;rnti=3;cell=1;harq=0","dir=DL;frame=1;slot=17;ue=3;rnti=3;cell=1;harq=0",0,1,0,1,24000,17,17,0.008,1,17,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"DL",3,3,"DL_ue3_frame1_pkt57","DL_ue3_frame1_pkt57","DL_ue3_frame1_pkt57_macsdu1","dir=DL;frame=1;slot=17;ue=3;rnti=3;cell=1;harq=0","dir=DL;frame=1;slot=17;ue=3;rnti=3;cell=1;harq=0",0,1,0,1,4424,17,17,0.008,1,17,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"DL",4,4,"DL_ue4_frame1_pkt1","DL_ue4_frame1_pkt1","DL_ue4_frame1_pkt1_macsdu1","dir=DL;frame=1;slot=17;ue=4;rnti=4;cell=1;harq=0","dir=DL;frame=1;slot=17;ue=4;rnti=4;cell=1;harq=0",0,1,0,1,36000,17,17,0.008,1,17,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"DL",4,4,"DL_ue4_frame1_pkt9","DL_ue4_frame1_pkt9","DL_ue4_frame1_pkt9_macsdu1","dir=DL;frame=1;slot=17;ue=4;rnti=4;cell=1;harq=0","dir=DL;frame=1;slot=17;ue=4;rnti=4;cell=1;harq=0",0,1,0,1,24000,17,17,0.008,1,17,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"DL",4,4,"DL_ue4_frame1_pkt17","DL_ue4_frame1_pkt17","DL_ue4_frame1_pkt17_macsdu1","dir=DL;frame=1;slot=17;ue=4;rnti=4;cell=1;harq=0","dir=DL;frame=1;slot=17;ue=4;rnti=4;cell=1;harq=0",0,1,0,1,24000,17,17,0.008,1,17,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"DL",4,4,"DL_ue4_frame1_pkt25","DL_ue4_frame1_pkt25","DL_ue4_frame1_pkt25_macsdu1","dir=DL;frame=1;slot=17;ue=4;rnti=4;cell=1;harq=0","dir=DL;frame=1;slot=17;ue=4;rnti=4;cell=1;harq=0",0,1,0,1,24000,17,17,0.008,1,17,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"DL",4,4,"DL_ue4_frame1_pkt33","DL_ue4_frame1_pkt33","DL_ue4_frame1_pkt33_macsdu1","dir=DL;frame=1;slot=17;ue=4;rnti=4;cell=1;harq=0","dir=DL;frame=1;slot=17;ue=4;rnti=4;cell=1;harq=0",0,1,0,1,24000,17,17,0.008,1,17,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"DL",4,4,"DL_ue4_frame1_pkt41","DL_ue4_frame1_pkt41","DL_ue4_frame1_pkt41_macsdu1","dir=DL;frame=1;slot=17;ue=4;rnti=4;cell=1;harq=0","dir=DL;frame=1;slot=17;ue=4;rnti=4;cell=1;harq=0",0,1,0,1,24000,17,17,0.008,1,17,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"DL",4,4,"DL_ue4_frame1_pkt49","DL_ue4_frame1_pkt49","DL_ue4_frame1_pkt49_macsdu1","dir=DL;frame=1;slot=17;ue=4;rnti=4;cell=1;harq=0","dir=DL;frame=1;slot=17;ue=4;rnti=4;cell=1;harq=0",0,1,0,1,24000,17,17,0.008,1,17,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"DL",4,4,"DL_ue4_frame1_pkt57","DL_ue4_frame1_pkt57","DL_ue4_frame1_pkt57_macsdu1","dir=DL;frame=1;slot=17;ue=4;rnti=4;cell=1;harq=0","dir=DL;frame=1;slot=17;ue=4;rnti=4;cell=1;harq=0",0,1,0,1,4424,17,17,0.008,1,17,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"DL",1,1,"DL_ue1_frame1_pkt57","DL_ue1_frame1_pkt57","DL_ue1_frame1_pkt57_macsdu2","dir=DL;frame=1;slot=18;ue=1;rnti=1;cell=1;harq=1","dir=DL;frame=1;slot=18;ue=1;rnti=1;cell=1;harq=1",1,1,0,2,19576,18,18,0.0085,1,18,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"DL",1,1,"DL_ue1_frame1_pkt65","DL_ue1_frame1_pkt65","DL_ue1_frame1_pkt65_macsdu1","dir=DL;frame=1;slot=18;ue=1;rnti=1;cell=1;harq=1","dir=DL;frame=1;slot=18;ue=1;rnti=1;cell=1;harq=1",1,1,0,1,24000,18,18,0.0085,1,18,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"DL",1,1,"DL_ue1_frame1_pkt73","DL_ue1_frame1_pkt73","DL_ue1_frame1_pkt73_macsdu1","dir=DL;frame=1;slot=18;ue=1;rnti=1;cell=1;harq=1","dir=DL;frame=1;slot=18;ue=1;rnti=1;cell=1;harq=1",1,1,0,1,24000,18,18,0.0085,1,18,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"DL",1,1,"DL_ue1_frame1_pkt81","DL_ue1_frame1_pkt81","DL_ue1_frame1_pkt81_macsdu1","dir=DL;frame=1;slot=18;ue=1;rnti=1;cell=1;harq=1","dir=DL;frame=1;slot=18;ue=1;rnti=1;cell=1;harq=1",1,1,0,1,24000,18,18,0.0085,1,18,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"DL",1,1,"DL_ue1_frame1_pkt89","DL_ue1_frame1_pkt89","DL_ue1_frame1_pkt89_macsdu1","dir=DL;frame=1;slot=18;ue=1;rnti=1;cell=1;harq=1","dir=DL;frame=1;slot=18;ue=1;rnti=1;cell=1;harq=1",1,1,0,1,36000,18,18,0.0085,1,18,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"DL",1,1,"DL_ue1_frame1_pkt97","DL_ue1_frame1_pkt97","DL_ue1_frame1_pkt97_macsdu1","dir=DL;frame=1;slot=18;ue=1;rnti=1;cell=1;harq=1","dir=DL;frame=1;slot=18;ue=1;rnti=1;cell=1;harq=1",1,1,0,1,24000,18,18,0.0085,1,18,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"DL",1,1,"DL_ue1_frame1_pkt105","DL_ue1_frame1_pkt105","DL_ue1_frame1_pkt105_macsdu1","dir=DL;frame=1;slot=18;ue=1;rnti=1;cell=1;harq=1","dir=DL;frame=1;slot=18;ue=1;rnti=1;cell=1;harq=1",1,1,0,1,24000,18,18,0.0085,1,18,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"DL",1,1,"DL_ue1_frame1_pkt113","DL_ue1_frame1_pkt113","DL_ue1_frame1_pkt113_macsdu1","dir=DL;frame=1;slot=18;ue=1;rnti=1;cell=1;harq=1","dir=DL;frame=1;slot=18;ue=1;rnti=1;cell=1;harq=1",1,1,0,1,8848,18,18,0.0085,1,18,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"DL",2,2,"DL_ue2_frame1_pkt57","DL_ue2_frame1_pkt57","DL_ue2_frame1_pkt57_macsdu2","dir=DL;frame=1;slot=18;ue=2;rnti=2;cell=1;harq=1","dir=DL;frame=1;slot=18;ue=2;rnti=2;cell=1;harq=1",1,1,0,2,19576,18,18,0.0085,1,18,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"DL",2,2,"DL_ue2_frame1_pkt65","DL_ue2_frame1_pkt65","DL_ue2_frame1_pkt65_macsdu1","dir=DL;frame=1;slot=18;ue=2;rnti=2;cell=1;harq=1","dir=DL;frame=1;slot=18;ue=2;rnti=2;cell=1;harq=1",1,1,0,1,24000,18,18,0.0085,1,18,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"DL",2,2,"DL_ue2_frame1_pkt73","DL_ue2_frame1_pkt73","DL_ue2_frame1_pkt73_macsdu1","dir=DL;frame=1;slot=18;ue=2;rnti=2;cell=1;harq=1","dir=DL;frame=1;slot=18;ue=2;rnti=2;cell=1;harq=1",1,1,0,1,24000,18,18,0.0085,1,18,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"DL",2,2,"DL_ue2_frame1_pkt81","DL_ue2_frame1_pkt81","DL_ue2_frame1_pkt81_macsdu1","dir=DL;frame=1;slot=18;ue=2;rnti=2;cell=1;harq=1","dir=DL;frame=1;slot=18;ue=2;rnti=2;cell=1;harq=1",1,1,0,1,24000,18,18,0.0085,1,18,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"DL",2,2,"DL_ue2_frame1_pkt89","DL_ue2_frame1_pkt89","DL_ue2_frame1_pkt89_macsdu1","dir=DL;frame=1;slot=18;ue=2;rnti=2;cell=1;harq=1","dir=DL;frame=1;slot=18;ue=2;rnti=2;cell=1;harq=1",1,1,0,1,36000,18,18,0.0085,1,18,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"DL",2,2,"DL_ue2_frame1_pkt97","DL_ue2_frame1_pkt97","DL_ue2_frame1_pkt97_macsdu1","dir=DL;frame=1;slot=18;ue=2;rnti=2;cell=1;harq=1","dir=DL;frame=1;slot=18;ue=2;rnti=2;cell=1;harq=1",1,1,0,1,24000,18,18,0.0085,1,18,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"DL",2,2,"DL_ue2_frame1_pkt105","DL_ue2_frame1_pkt105","DL_ue2_frame1_pkt105_macsdu1","dir=DL;frame=1;slot=18;ue=2;rnti=2;cell=1;harq=1","dir=DL;frame=1;slot=18;ue=2;rnti=2;cell=1;harq=1",1,1,0,1,24000,18,18,0.0085,1,18,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"DL",2,2,"DL_ue2_frame1_pkt113","DL_ue2_frame1_pkt113","DL_ue2_frame1_pkt113_macsdu1","dir=DL;frame=1;slot=18;ue=2;rnti=2;cell=1;harq=1","dir=DL;frame=1;slot=18;ue=2;rnti=2;cell=1;harq=1",1,1,0,1,8848,18,18,0.0085,1,18,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
